fire_id,start_date,end_date,lat,lon
19276074,2016-02-02,2016-02-26,35.877373936151514,-102.51175824919943
19353681,2016-03-14,2016-04-05,35.62746451807263,-101.0792730590573
19353705,2016-03-15,2016-04-01,35.23617552977598,-100.4174227328164
19355123,2016-03-18,2016-04-13,38.9013879410212,-96.23954027013963
19355143,2016-03-25,2016-04-16,38.470287433057074,-96.75602693806779
19355164,2016-03-27,2016-04-13,38.24955326342762,-96.4405154130802
19355167,2016-02-29,2016-03-29,38.18259516946953,-96.37657252211181
19355171,2016-03-22,2016-04-13,38.224747755495564,-96.59719284602787
19355193,2016-03-13,2016-04-06,38.08285032512456,-97.67070613775529
19355196,2016-03-23,2016-04-22,38.044435810293805,-96.52271338292582
19355213,2016-03-21,2016-04-14,37.92838371545802,-96.33168422107644
19355222,2016-03-19,2016-04-16,37.88663407631785,-96.10804832407963
19355281,2016-02-29,2016-03-28,37.513017035923426,-96.53337226294182
19355284,2016-03-25,2016-04-12,37.46512805074924,-96.10007557844595
19355302,2016-03-15,2016-04-01,37.21922487429419,-98.66113158820006
19355306,2016-03-26,2016-04-13,37.32564681198843,-96.03617575295114
19355386,2016-03-20,2016-04-18,36.95739948524115,-96.50770928788774
19355410,2016-03-21,2016-04-13,36.96358216818963,-96.89988673686196
19355412,2016-03-10,2016-03-30,36.893733565820256,-91.15910707341185
19355428,2016-03-03,2016-03-27,36.857015973820374,-96.4672040118106
19355447,2016-03-22,2016-04-16,36.83291613056613,-95.47275632691202
19355459,2016-03-20,2016-04-10,36.78868343558839,-96.48444943627193
19355475,2016-03-25,2016-04-10,36.6961474010234,-96.51058364151159
19355495,2016-03-02,2016-03-20,36.638886359156565,-96.02326471481682
19355510,2016-03-08,2016-03-28,36.60090870524979,-96.63557670151023
19408864,2016-03-30,2016-04-22,39.295744262997566,-96.51862422316633
19408886,2016-03-25,2016-04-17,39.01228979031219,-96.2114620758571
19408898,2016-03-28,2016-04-14,38.89919763142878,-96.71840722265995
19409013,2016-03-24,2016-04-13,38.30271697211122,-96.88633618414651
19409070,2016-03-25,2016-04-15,38.0878058898186,-95.96573432301203
19409172,2016-03-25,2016-04-18,37.60292251344596,-96.80436694933147
19409179,2016-03-24,2016-04-17,37.45160721033699,-96.43659373986917
19409211,2016-03-24,2016-04-18,37.288434171486635,-96.5605532363591
19409245,2016-03-25,2016-04-13,37.113044253169825,-96.75824480698397
19409282,2016-03-28,2016-04-14,36.642572669212775,-99.30277169194774
19410842,2016-04-09,2016-05-07,35.62233054769571,-75.89303856494655
19483085,2016-05-15,2016-06-03,36.391151970569396,-121.21597371229629
19570357,2016-06-12,2016-07-08,35.574749892406324,-118.3201773360406
19570366,2016-06-07,2016-06-27,34.49682709248802,-120.0302459993372
19570370,2016-06-09,2016-07-05,34.17965259878279,-117.93546642234922
19570373,2016-06-08,2016-06-29,34.07762930874262,-110.1550345374284
19570390,2016-05-31,2016-06-21,33.41903001550996,-108.03324338455313
19571002,2016-05-28,2016-06-19,45.36113157970087,-120.57161030637884
19571350,2016-06-03,2016-06-28,34.84600569121892,-106.28964917736901
19571721,2016-06-16,2016-07-09,44.38229842362922,-104.69588835065002
19662129,2016-07-22,2016-08-09,40.03566854005998,-119.86118150557655
19662132,2016-07-22,2016-08-14,39.99173480137431,-119.67875584939038
19662143,2016-07-15,2016-08-16,36.44327122467446,-121.89048151275018
19662168,2016-07-15,2016-08-02,34.38399498548532,-118.36110057332057
19662408,2016-07-23,2016-08-08,47.30639808893305,-119.0425386102715
19662416,2016-07-23,2016-08-09,46.4847451526427,-119.98947463364188
19662448,2016-07-14,2016-07-31,45.47115914828258,-120.28623232495441
19662454,2016-07-25,2016-08-26,44.40302259725617,-118.35829466244356
19662466,2016-07-24,2016-09-09,44.00635060541094,-115.55985908580874
19662494,2016-06-25,2016-07-12,41.04370592112222,-116.94386217998917
19662503,2016-07-12,2016-08-02,40.9254692652638,-112.20303353497361
19662543,2016-06-29,2016-07-29,38.299280721573915,-105.76332313288667
19662565,2016-07-02,2016-07-23,35.8925738251184,-100.90090781476425
19663020,2016-07-08,2016-08-11,43.608454362844775,-109.90224028050356
19663023,2016-07-19,2016-08-07,43.3531618339346,-102.95412380176786
19663025,2016-07-09,2016-07-27,43.24998804920672,-103.7432684787602
19663026,2016-07-09,2016-07-28,43.231048752530775,-103.82782072628052
19663027,2016-07-03,2016-07-21,42.300009803456675,-104.13052785410628
19791589,2016-07-25,2016-08-16,38.53203130422108,-122.07856339956938
19791598,2016-08-01,2016-08-23,36.14558535046429,-120.52348755350405
19791601,2016-08-08,2016-09-06,35.79335709019181,-118.56233053683789
19791604,2016-08-06,2016-09-06,35.74321647345525,-121.0688283279615
19791605,2016-08-11,2016-08-31,34.58423207020701,-119.81053585604398
19791606,2016-08-08,2016-08-25,34.300189380213936,-117.4826959191161
19791607,2016-07-30,2016-08-19,34.308225717474414,-117.25434338765172
19791672,2016-08-08,2016-09-04,46.643360749801495,-118.63055649140436
19791804,2016-08-12,2016-09-01,43.564332334538946,-117.218591672211
19791811,2016-08-11,2016-09-07,43.43812779266045,-111.74272771299384
19791825,2016-08-09,2016-08-28,43.1924572719059,-113.63756285934448
19791826,2016-07-28,2016-08-16,43.15273284654979,-113.7496805068014
19791830,2016-07-28,2016-08-21,43.02648747316174,-112.17322722560945
19791860,2016-07-25,2016-08-18,41.886875559841826,-112.28209182672207
19791879,2016-08-11,2016-08-30,40.907055822359126,-116.84961548584745
19791884,2016-08-09,2016-08-31,40.67019229507447,-117.90898734607075
